Menu Item,Serving Size,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Carbs (g),Dietary Fiber (g),Sugars (g),Protein (g),Restaurant,Category
Cheese,1 oz,100,80,8.5,5,0,0,0,0,8,Chipotle,Cheese 
Chips,4 oz,570,240,27,3.5,0,73,8,4,8,Chipotle,Chips
Barbacoa,4 oz,170,60,7,2.5,0,2,0,1,24,Chipotle,Meats
Chicken,4 oz,190,60,6.5,2,0,1,0,1,32,Chipotle,Meats
Carnitas,4 oz,190,70,8,2.5,0,1,0,0,27,Chipotle,Meats
Steak,4 oz,190,60,6.5,2,0,2,0,1,30,Chipotle,Meats
Cilantro-Lime Rice,3 oz,130,30,3,0.5,0,23,0,0,2,Chipotle,Rice
Crispy Taco Shell,1 ea,60,20,2,0.5,0,9,1,1,1,Chipotle,
Sour Cream,2 oz,120,90,10,7,0,2,0,2,2,Chipotle,
Guacamole,3.5 oz,150,120,13,2,0,8,6,1,2,Chipotle,
Flour Tortilla (burrito),1 ea,290,80,9,3,0,44,2,0,7,Chipotle,
Flour Tortilla (taco),1 ea,90,25,2.5,1,0,13,1,0,2,Chipotle,
Fajita Vegetables,2.5 oz,20,5,0.5,0,0,4,1,2,1,Chipotle,
Romaine Lettuce (salad),2.5 oz,10,0,0,0,0,2,1,1,1,Chipotle,
Romaine Lettuce (tacos),1 oz,5,0,0,0,0,1,1,0,0,Chipotle,
6'' Italian White Bread,71 g,200,20,2,0.5,0,38,1,5,7,Subway,
6'' 9-Grain Wheat Bread,78 g,210,20,2,0.5,0,41,4,3,8,Subway,
6'' Parmesan Oregano Bread,75 g,220,25,2.5,1,0,41,2,5,8,Subway,
6'' Honey Oat Bread,89 g,260,25,3,0.5,0,49,5,8,9,Subway,
6'' Hearty Italian Bread,75 g,220,20,2,1,0,41,2,5,8,Subway,
6'' Monterey Cheddar Bread,82 g,240,50,5,3,0,39,1,5,10,Subway,
6'' Italian Herbs & Cheese Bread,82 g,250,45,5,2,0,41,2,5,10,Subway,
6'' Roasted Garlic Bread,82 g,230,25,2.5,0.5,0,45,2,7,8,Subway,
Flatbread,94 g,240,45,5,1,0,41,2,1,8,Subway,
Mini Italian Bread,47 g,130,15,1.5,0,0,26,1,3,5,Subway,
Mini Wheat Bread,52 g,140,15,1.5,0,0,28,3,2,5,Subway,
Wrap,103 g,310,70,8,2.5,0,51,1,0,8,Subway,
"American,Processed Cheese",11 g,40,30,3.5,2,0,1,0,0,2,Subway,
"Monterey Cheddar,Shredded Cheese",14 g,50,40,4.5,3,0,1,0,0,3,Subway,
Natural Cheddar Cheese,15 g,60,45,5,3,0,0,0,0,4,Subway,
Pepperjack Cheese,14 g,50,35,4,2.5,0,0,0,0,3,Subway,
Provolone Cheese,14 g,50,35,4,2,0,0,0,0,4,Subway,
Swiss Cheese,14 g,50,35,4.5,2.5,0,0,0,0,4,Subway,
Baked Lay's Chips,32 g,130,15,2,0,0,23,2,2,2,Subway,
Baked Lay's Sour Cream & Onion Chips,32 g,140,30,3.5,0.5,0,24,2,3,3,Subway,
Doritos Nacho Chips,50 g,250,120,13,2.5,0,30,2,2,4,Subway,
Lays Classic Chips,43 g,230,140,15,1.5,0,23,2,0,3,Subway,
Sunchips Harvest Cheddar Chips,43 g,210,80,9,1.5,0,29,3,3,4,Subway,
Chocolate Chip Cookie,45 g,210,90,10,6,0,30,1,18,2,Subway,
Chocolate Chunk Cookie,45 g,220,90,10,5,0,30,1,17,2,Subway,
Double Chocolate Chip Cookie,45 g,209.6,90,10,6,0,30,1,20,2,Subway,
M & M Cookie,45 g,210,90,10,5,0,32,1,18,2,Subway,
Oatmeal Raisin Cookie,45 g,200,70,8,4,0,30,1,17,3,Subway,
Peanut Butter Cookie,45 g,220,110,12,5,0,26,1,16,4,Subway,
Sugar Cookie,45 g,220,110,12,6,0,28,1,14,2,Subway,
White Chip Macadamia Nut Cookie,45 g,220,100,11,5,0,29,1,18,2,Subway,
Apple Pie,71 g,250,90,10,2,,37,1,25,0,Subway,
Apple Slices - 1 package,71 g,35,0,0,0,0,9,2,7,0,Subway,
Yogurt Dannon Light & Fit,170 g,80,0,0,0,0,16,0,11,5,Subway,
Roasted Chicken Patty,71 g,90,20,2.5,0.5,0,4,0,2,15,Subway,
Chicken Strips,71 g,80,15,1.5,0.5,0,0,0,0,16,Subway,
Cold Cut Combo Meats,71 g,140,100,11,3.5,0,2,0,1,10,Subway,
Egg Patty,85 g,110,70,8,2,0,3,1,0,9,Subway,
Ham,57 g,60,15,2,0.5,0,2,0,2,9,Subway,
Italian BMT Meats,64 g,180,130,14,5,0,2,0,2,11,Subway,
Meatballs,198 g,310,150,17,6,1,25,4,11,13,Subway,
Roast Beef,71 g,80,20,2.5,1,0,1,0,1,18,Subway,
Seafood Sensation,71 g,190,150,16,2.5,0,7,0,1,5,Subway,
Steak (no cheese),71 g,112,50,4,2,0,4,0,1,15,Subway,
Subway Club Meats,78 g,90,20,2.5,1,0,2,0,1,17,Subway,
Tuna,71 g,260,220,24,4,0,0,0,0,10,Subway,
Turkey Breast,57 g,50,10,1,0,0,2,0,1,9,Subway,
Veggie Patty,85 g,160,45,5,0.5,0,12,3,2,15,Subway,
Fat Free Italian Salad Dressing,57 g,35,0,0,0,0,7,0,4,1,Subway,
Ranch Salad Dressing,57 g,290,270,30,4.5,0.5,3,0,3,1,Subway,
Black Forest Ham Salad,356 g,110,25,3,1,0,12,4,6,12,Subway,
Oven Roasted Chicken Salad,371 g,130,25,2.5,0.5,0,10,4,4,20,Subway,
Roast Beef Salad,371 g,140,30,3.5,1,0,10,4,5,21,Subway,
Subway Club Salad,387 g,140,30,3.5,1,0,12,4,6,20,Subway,
Sweet Onion Chicken Teriyaki Salad,413 g,200,30,3,1,0,25,4,16,20,Subway,
Turkey Breast Salad,356 g,110,20,2,0.5,0,12,4,5,12,Subway,
Turkey Breast & Ham Salad,366 g,120,25,3,0.5,0,12,4,6,14,Subway,
Veggie Delite Salad,300 g,50,10,1,0,0,10,4,4,3,Subway,
6'' Black Forest Ham Sandwich,226 g,290,40,4.5,1,0,47,5,7,18,Subway,
6'' Oven Roasted Chicken Sandwich,240 g,320,40,4.5,1,0,49,5,7,23,Subway,
6'' Roast Beef Sandwich,240 g,310,40,4.5,1.5,0,46,5,6,26,Subway,
6'' Subway Club Sandwich,247 g,320,45,5,1.5,0,47,5,6,26,Subway,
6'' Sweet Onion Chicken Teriyaki Sandwich,283 g,380,40,4.5,1,0,60,5,17,26,Subway,
6'' Turkey Breast Sandwich,226 g,280,30,3.5,1,0,47,5,6,18,Subway,
6'' Turkey Breast & Black Forest Ham Sandwich,236 g,300,35,4,1,0,47,5,6,19,Subway,
6'' Veggie Delite Sandwich,169 g,230,20,2.5,0.5,0,45,5,5,8,Subway,
Black Forest Ham Sandwich on Flatbread,242 g,320,60,7,1.5,0,47,3,4,18,Subway,
Oven Roasted Chicken Sandwich on Flatbread,256 g,350,70,7,1.5,0,48,3,4,24,Subway,
Roast Beef Sandwich on Flatbread,256 g,340,70,8,2,0,45,3,3,27,Subway,
Subway Club Sandwich on Flatbread,272 g,350,70,8,1.5,0,47,3,4,26,Subway,
Sweet Onion Chicken Teriyaki Sandwich on Flatbread,298 g,410,70,7,1.5,0,59,3,14,26,Subway,
Turkey Breast Sandwich on Flatbread,242 g,310,60,6,1,0,47,3,3,18,Subway,
Turkey Breast & Black Forest Ham Sandwich on Flatbread,251 g,330,60,7,1.5,0,47,3,4,20,Subway,
Veggie Delite Sandwich on Flatbread,185 g,260,45,5,1,0,44,3,2,9,Subway,
Footlong Black Forest Ham Sandwich,452 g,570,80,9,2.5,0,94,10,14,35,Subway,
Footlong Oven Roasted Chicken Sandwich,481 g,640,80,9,2.5,0,97,11,14,46,Subway,
Footlong Roast Beef Sandwich,481 g,630,80,9,3,0,91,11,12,52,Subway,
Footlong Subway Club Sandwich,495 g,640,90,10,3,0,95,11,12,52,Subway,
Footlong Sweet Onion Chicken Teriyaki Sandwich,566 g,760,80,9,2,0,120,10,34,51,Subway,
Footlong Turkey Breast Sandwich,452 g,570,60,7,1.5,0,94,10,11,35,Subway,
Footlong Turkey Breast & Black Forest Ham Sandwich,471 g,590,70,8,2,0,95,10,13,38,Subway,
Footlong Veggie Delite Sandwich,339 g,460,40,4.5,1,0,90,10,10,17,Subway,
6'' Big Philly Cheesesteak Sandwich,311.2 g,520,160,18,9,0.5,53,6,7,39,Subway,
6'' BLT Sandwich,164 g,360,120,13,6,0,45,5,5,17,Subway,
6'' Chicken & Bacon Ranch Sandwich,299 g,570,250,28,10,0.5,49,6,6,35,Subway,
6'' Cold Cut Combo Sandwich,252 g,410,150,16,6,0.5,48,5,6,21,Subway,
6'' Italian B.M.T. Sandwich,245 g,450,180,20,8,0.5,48,5,7,22,Subway,
6'' Meatball Marinara Sandwich,379 g,580,200,23,9,1,70,9,16,24,Subway,
6'' Spicy Italian Sandwich,240 g,520,250,28,11,0.5,47,5,7,22,Subway,
6'' Subway Melt Sandwich,256 g,380,100,11,5,0,49,5,7,25,Subway,
6'' The Feast Sandwich,331 g,540,200,22,9,0.5,50,5,8,39,Subway,
6'' Tuna Sandwich,252 g,530,270,30,6,0.5,46,5,5,21,Subway,
Veggie Delite Sandwich,101 g,150,15,1.5,0,0,30,3,3,6,Subway,
Black Forest Ham Sandwich,129 g,180,25,2.5,0.5,0,31,3,4,10,Subway,
Roast Beef Sandwich,138 g,200,25,3,1,0,30,4,4,15,Subway,
Turkey Breast Sandwich,138 g,190,20,2.5,0.5,0,31,3,4,12,Subway,
6'' Barbecue Rib Patty Sandwich,247 g,430,160,18,6,0,48,5,7,19,Subway,
6'' Barbecue Chicken Sandwich,240 g,310,45,5,1.5,0,53,6,14,15,Subway,
6'' Buffalo Chicken Sandwich,276 g,420,140,15,3,0,47,5,7,25,Subway,
6'' LOW FAT Buffalo Chicken Sandwich,276 g,370,60,7,1.5,0,54,5,8,25,Subway,
6'' Chicken Pizziola Sandwich,298 g,460,140,15,6,0,51,6,8,31,Subway,
"6'' Pastrami,Big Sandwich",270 g,590,260,29,9,0,49,5,4,32,Subway,
6'' Subway Seafood Sensation Sandwich,252 g,460,200,22,5,0,52,6,7,15,Subway,
6'' Turkey Bacon Avocado Sandwich,275 g,420,130,15,5,0,51,7,6,24,Subway,
6'' Tuscan Chicken Sandwich,275 g,390,80,9,3.5,0,52,6,7,27,Subway,
6'' Veggie Patty Sandwich,254 g,390,70,7,1,0,57,8,7,23,Subway,
Chicken Tortilla Soup,10 oz,110,20,1.5,0.5,0,11,3,4,6,Subway,
Chipotle Chicken Corn Chowder,10 oz,140,30,3,1.5,0,22,2,4,6,Subway,
Chicken & Dumpling Soup,10 oz,170,45,5,2,0,23,2,2,8,Subway,
Chill Con Carne Soup,10 oz,340,100,11,5,0,35,10,7,20,Subway,
Cream of Potato with Bacon Soup,10 oz,240,120,13,5,0,26,3,3,5,Subway,
Fire-Roasted Tomato Orzo Soup,10 oz,130,25,1,0.5,0,24,2,4,6,Subway,
Golden Broccoli & Cheese Soup,10 oz,180,100,11,5,0,16,4,3,5,Subway,
Minestrone Soup,10 oz,90,10,1,0,0,17,3,4,4,Subway,
New England Style Clam Chowder,10 oz,150,45,5,1,0,20,4,2,6,Subway,
Roasted Chicken Noodle Soup,10 oz,80,20,2,0.5,0,12,1,2,6,Subway,
Rosemary Chicken and Dumpling Soup,10 oz,90,15,1.5,0.5,0,14,1,3,6,Subway,
Spanish Style Chicken & Rice with Pork Soup,10 oz,110,25,2.5,1,0,16,1,1,6,Subway,
Tomato Garden Vegetable w/Rotini Soup,10 oz,90,5,0.5,0,0,20,3,8,3,Subway,
Vegetable Beef Soup,10 oz,100,20,2,0.5,0,17,3,5,5,Subway,
Wild Rice with Chicken Soup,10 oz,230,100,11,3.5,0,26,1,3,6,Subway,
Banana Peppers (3 rings),4 g,0,0,0,0,0,0,0,0,0,Subway,
Cucumbers (3 slices),17 g,5,0,0,0,0,1,0,0,0,Subway,
Green Peppers (3 strips),7 g,0,0,0,0,0,0,0,0,0,Subway,
Jalapeno Peppers (3 rings),4 g,5,0,0,0,0,0,0,0,0,Subway,
Lettuce,21 g,5,0,0,0,0,0,0,0,0,Subway,
Onions,14 g,5,0,0,0,0,1,0,0,0,Subway,
Pickles (3 chips),9 g,0,0,0,0,0,0,0,0,0,Subway,
Olives (3 rings),3 g,5,0,0,0,0,0,0,0,0,Subway,
